owner_id,category_id,business_name,description,address,city,latitude,longitude,is_verified,created_at,status,approved_by
1,6,Atlanta,Extracted from OpenStreetMap,"Gulbai Tekra Road, Kochrab, Ahmedabad",Ahmedabad,23.0265179,72.5535161,True,2026-02-11 17:56:02.721680,approved,
1,9,"St. Xavier's High School, Loyola Hall",Extracted from OpenStreetMap,"St. Xavier's School Road, Memnagar, Ahmedabad",Ahmedabad,23.047875,72.5490839,True,2026-02-11 17:56:02.721680,approved,
1,9,Mt. Carmel School,Extracted from OpenStreetMap,"Navrangpura Internal Road, Ranip, Ahmedabad",Ahmedabad,23.0351192,72.568061,True,2026-02-11 17:56:02.721680,approved,
1,2,Bodakdev Fire Station,Extracted from OpenStreetMap,"Satya Marg, Bodakdev, Ahmedabad",Ahmedabad,23.0398116,72.5163171,True,2026-02-11 17:56:02.721680,approved,
1,11,Rajpath Club,Extracted from OpenStreetMap,"Pakwan Flyover, Bodakdev, Ahmedabad",Ahmedabad,23.034638,72.5093477,True,2026-02-11 17:56:02.721680,approved,
1,9,Navrang School,Extracted from OpenStreetMap,"Navrang Circle, Naranpura, Ahmedabad",Ahmedabad,23.0483604,72.556364,True,2026-02-11 17:56:02.721680,approved,
1,9,"DPS - Delhi Public School, Bopal",Extracted from OpenStreetMap,"DPS-Bopal Road, Ghuma, Ahmedabad",Ahmedabad,23.0419569,72.4575053,True,2026-02-11 17:56:02.721680,approved,
1,9,A. G. Teachers High School,Extracted from OpenStreetMap,"120 Feet Ring Road, Ahmedabad",Ahmedabad,23.0403655,72.5484846,True,2026-02-11 17:56:02.721680,approved,
1,11,Manav Mandir,Extracted from OpenStreetMap,"Drive-in Road, Vastrapur, Ahmedabad",Ahmedabad,23.0461532,72.5396662,True,2026-02-11 17:56:02.721680,approved,
1,11,"Karnvanath Mahadev, Shiv Temple",Extracted from OpenStreetMap,"St. Xavier's School Road, Memnagar, Ahmedabad",Ahmedabad,23.0470512,72.5498248,True,2026-02-11 17:56:02.721680,approved,
1,11,Paramdham Temple,Extracted from OpenStreetMap,"Satellite Road, Ramdev nagar, Ahmedabad",Ahmedabad,23.0279683,72.5206423,True,2026-02-11 17:56:02.721680,approved,
1,11,Gayatri Mandir,Extracted from OpenStreetMap,"Riverfront Road, Dudheshwar, Ahmedabad",Ahmedabad,23.0616617,72.5914612,True,2026-02-11 17:56:02.721680,approved,
1,3,Wide Angle,Extracted from OpenStreetMap,"Service road - Sarkhej Gandhinagar Highway, Ramdev nagar, Ahmedabad",Ahmedabad,23.0245953,72.5072957,True,2026-02-11 17:56:02.721680,approved,
1,9,St. Xavier's College,Extracted from OpenStreetMap,"St. Xavier's College Road, Ambawadi, Ahmedabad",Ahmedabad,23.0329052,72.5517045,True,2026-02-11 17:56:02.721680,approved,
1,9,SLIMS - Som Lalit Institute of Management Studies,Extracted from OpenStreetMap,"St. Xavier's College Road, Ambawadi, Ahmedabad",Ahmedabad,23.0337029,72.5537987,True,2026-02-11 17:56:02.721680,approved,
1,9,"Mount Carmel School, Khanpur",Extracted from OpenStreetMap,"RiverFront Road, Ahmedabad",Ahmedabad,23.0329288,72.5766297,True,2026-02-11 17:56:02.721680,approved,
1,11,Sports Club of Gujarat,Extracted from OpenStreetMap,"Income Tax Underpass, Usmanpura, Ahmedabad",Ahmedabad,23.0408384,72.5646398,True,2026-02-11 17:56:02.721680,approved,
1,6,Amola Chambers,Extracted from OpenStreetMap,"Chimanlal Girdharlal Road, Ambawadi, Ahmedabad",Ahmedabad,23.0322763,72.5596359,True,2026-02-11 17:56:02.721680,approved,
1,6,BSNL Navrangpura,Extracted from OpenStreetMap,"Chimanlal Girdharlal Road, Ambawadi, Ahmedabad",Ahmedabad,23.031785,72.5592443,True,2026-02-11 17:56:02.721680,approved,
1,6,Shilp,Extracted from OpenStreetMap,"Chimanlal Girdharlal Road, Ambawadi, Ahmedabad",Ahmedabad,23.0328924,72.5604427,True,2026-02-11 17:56:02.721680,approved,
1,6,City Centre,Extracted from OpenStreetMap,"Ishwar Bhuvan Road, Usmanpura, Ahmedabad",Ahmedabad,23.0406632,72.5567409,True,2026-02-11 17:56:02.721680,approved,
1,6,Navdeep,Extracted from OpenStreetMap,"Income Tax Flyover, Usmanpura, Ahmedabad",Ahmedabad,23.0405777,72.5687511,True,2026-02-11 17:56:02.721680,approved,
1,2,Memnagar Fire Station,Extracted from OpenStreetMap,"120 Feet Ring Road, Naranpura, Ahmedabad",Ahmedabad,23.0455062,72.5510013,True,2026-02-11 17:56:02.721680,approved,
1,11,Jalaram Mandir,Extracted from OpenStreetMap,"Paldi Underpass, Paldi, Ahmedabad",Ahmedabad,23.0180339,72.5617653,True,2026-02-11 17:56:02.721680,approved,
1,11,Suvidha Shopping Centre,Extracted from OpenStreetMap,"Chimanlal Girdharlal Road, Paldi, Ahmedabad",Ahmedabad,23.0144556,72.5591462,True,2026-02-11 17:56:02.721680,approved,
